B.Code,B.Author.Last,B.Date,B.Journal,B.DOI,B.Url
HK0107,Otaru,2011,Small Ruminant Research,10.1016/j.smallrumres.2010.11.004,
HK0108,Otukoya,2008,Journal of Food Agriculture & Environment,,https://pubag.nal.usda.gov/catalog/732199
HK0118,Sogbesan,2008,Turkish Journal of Fisheries and Aquatic Sciences,,https://www.researchgate.net/publication/242599458_Nutritional_Evaluation_of_Termite_Macrotermes_subhyalinus_Meal_as_Animal_Protein_Supplements_in_the_Diets_of_Heterobranchus_longifilis_Valenciennes_1840_Fingerlings
HK0129,Yaakugh,1994,Journal of the Science of Food and Agriculture,10.1002/jsfa.2740660407,
HK0138,Alhassan,1991,Animal Feed Science and Technology,10.1016/0377-8401(91)90067-3,
HK0143,Adeloye,1995,Bioresource Technology,10.1016/0960-8524(94)00145-q,
HK0154,Balogun,1995,Tropical Grasslands,,https://www.tropicalgrasslands.info/public/journals/4/Historic/Tropical%20Grasslands%20Journal%20archive/PDFs/Vol_29_1995/Vol_29_03_95_pp150_154.pdf
HK0158,Etela,2007,Renewable Agriculture and Food Sytems,10.1017/S1742170507001779,
HK0160,Fagbenro,1991,Bioresource Technology,10.1016/0960-8524(91)90183-k,
HK0171,Malau-Aduli,2004,Reproduction Nutrition Development,10.1051/rnd:2004022,
HK0177,Nworgu,2007,African Journal of Biotechnology,https://www.ajol.info/index.php/ajb/article/view/56125/44573,
HK0182,Oni,2010,Livestock Science,10.1016/j.livsci.2009.12.007,
HK0228,Nyina-wamwiza,2007,Aquaculture Research,10.1111/j.1365-2109.2007.01658.x,
HK0270,Garwe,2005,Veterinary Record,10.1136/vr.156.1.18,
HK0284,Mushandu,2005,Animal Feed Science and Technology,10.1016/j.anifeedsci.2005.02.033,
HK0288,Ngongoni,2008,Tropical Grasslands,,https://www.tropicalgrasslands.info/public/journals/4/Historic/Tropical%20Grasslands%20Journal%20archive/PDFs/Vol_42_2008/Vol42_03_2008_pp188_192.pdf
HK0319,Mnisi,2017,South African Journal of Animal Science,10.4314/sajas.v47i5.9,
HK0324,Khanyile,2017,Animal Production Science,10.1071/AN15182,
